コード,銘柄,終値0日前,変動記事タイトル,日付
<6615>,ＵＭＣエレ,355,S 先端運転支援システムでの中国ＺＹＴ向け新規受注を材料視,2025/12/5
<4664>,ＲＳＣ,1521,S 国内機械大手によるフィジカルＡＩでの協業発表相次ぎ関心が向かう,2025/12/5
<219A>,ハートシード,1823, 直近レンジ下限接近のなか国内大手証券の強気評価が刺激材料に,2025/12/5
<3444>,菊池製作,616,S フィジカルＡＩブームでロボット試作開発需要の拡大に期待膨らむ,2025/12/5
<6433>,ヒーハイスト,710,S 参画する団体が国産ヒト型ロボを２７年中にも量産と報じられる,2025/12/5
<4516>,日本新薬,5023,S ＣＡＰ－１００２の良好な第３相試験結果を材料視,2025/12/5
<268A>,リガクＨＤ,1140, 次世代半導体向け計測装置の販売開始を引き続き材料視,2025/12/5
<4062>,イビデン,12705, シンガポールＧＩＣ社が５．０７％保有判明で思惑,2025/12/5
<9973>,ＫＯＺＯＨＤ,33, 小僧寿し既存店売上高が９カ月ぶり前年上回る,2025/12/5
<9984>,ＳＢＧ,19285, 『米政権とハイテク工業団地建設協議』などと伝わる,2025/12/5
<3415>,Ｔ－ＢＡＳＥ,460, 国内証券が投資評価引き上げ,2025/12/5
<5246>,エレメンツ,571, iPhoneのマイナンバーカード利用の本人確認導入に『LIQUID eKYC』が対応,2025/12/5
<4617>,中国塗,4760, 造船需要拡大で恩恵として国内証券が買い推奨,2025/12/5
<6027>,弁護士ＣＯＭ,3135, 好決算評価で見直し買いも,2025/12/5
<2901>,Ｗディッシュ,378,S 財務報告に関する内部統制の開示すべき重要な不備を発表,2025/12/5
<6838>,多摩川ＨＤ,698, 第三者割当による新株予約権発行で潜在的な希薄化リスク警戒,2025/12/5
<7265>,エイケン工業,3350, 前期業績は計画上振れも利益確定売りが優勢,2025/12/5
<4704>,トレンド,7167, 前日にIRデイを開催しているが,2025/12/5
<2910>,Ｒフィールド,1314, 消費者の節約志向継続で２６年４月期業績予想を下方修正,2025/12/5
<3691>,デジプラ,1362, 株主優待制度の拡充を発表も,2025/12/5
<6173>,アクアライン,198, グロース上場維持に向け第三者割当増資を発表,2025/12/5
