ID,コード,銘柄,変動記事タイトル,変動記事本文,URL,終値2日前,終値1日前,終値0日前,生成記事,記事の日付,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
240902_r01,3841,ジーダット, 仏企業と国内販売代理店契約を締結,ジーダット<3841>は大幅続伸。前週末８月３０日の取引終了後、半導体製造の市場投入までの時間を短縮する総合的なＡＩ駆動型プロセス制御プラットフォームを提供する仏ＰＯＬＬＥＮ　ＭＥＴＲＯＬＯＧＹと販売代理店契約を締結したと発表した。これにより、ジーダットは国内の半導体製造分野の顧客に対して、同プラットフォームを提供する。これを材料視した買いが入っている。,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewcydz&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240830578615/,1421,1500,1900,ジーダット<3841>の株価がここ数日で大きく上昇し、現在1900円に達している。この上昇は、同社がPOLLEN METROLOGY社との販売代理契約を締結し、新たなAI駆動型プロセス制御プラットフォーム「Smart3」を国内半導体製造分野の顧客に提供開始すると発表したことに起因している。これにより、プロセスの効率化と市場投入の時間短縮が期待されており、市場の注目を集めた。,2024/9/2,,,,,,
240902_r07,4263,サスメド, 不眠障害アプリで保険収載手続きに向け一部変更承認申請を実施,サスメド<4263>がカイ気配。同社は前週末８月３０日の取引終了後、不眠障害用プログラム「サスメドＭｅｄ　ＣＢＴ－ｉ不眠障害用アプリ」に関し、製造販売承認事項一部変更承認申請を行ったと発表した。２０２４年度の診療報酬改定時の議論で、医師が実施する対面式の認知行動療法の不眠症への適用拡大が見送られ、同社が想定していた診療報酬を準用する形での保険収載も見送りになった。今回、同年度の診療報酬改定で、疾患治療用プログラムについて原則として特定保険医療材料として評価するといった保険医療材料制度の見直しが行われたことに伴い、改定後の制度を踏まえて保険収載の手続きを進めるため、申請を行った。発表をポジティブ視した買いが集まったようだ。一部変更が承認された場合、中央社会保険医療協議会などでの了承を経て保険収載が行われることとなるが、具体的な日程は現時点では未定という。,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewcyip&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240830578785/,576,576,676,サスメド<4263>の株価は最近急騰し、終値は676円を記録した。この株価変動は、不眠障害用プログラム「サスメド Med CBT-i®」アプリの製造販売承認事項の一部変更申請が発表されたことに起因しているようだ。この申請は、アプリの機能向上や市場投入の準備が進んでいることを示しており、市場の期待を集めた結果と考えられる。,2024/9/2,,,,,,
240902_r09,4813,ACCESS, ２～７月期営業赤字縮小,"ＡＣＣＥＳＳ<4813>が大幅続伸。前週末８月３０日取引終了後に２～７月期連結決算を発表し、売上高は８０億５９００万円（前年同期比１９．６％増）、営業損益は６億５０００万円の赤字（前年同期１１億２５００万円の赤字）となった。大幅な増収と営業赤字縮小を好感した買いが入っている。

　ネットワーク機器向けソフトウェアなどを手掛ける主力のネットワーク事業が大きく伸びたほか、ＩｏＴソリューションなどを提供するＩｏＴ事業も堅調だった。なお、通期の増収・営業黒字見通しに変更はない。",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewcypp&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240830579037/,1170,1197,1381,ACCESS<4813>の株価が急騰し、1381円まで上昇した。これは、同社の業績が予想を上回ったことが背景にある。ACCESSは、ネットワーク事業を中心に売上高が前年同期比34%以上伸び、全セグメントでの損益が大幅に改善しており、これが市場で好感された。特に、上半期で計画されていた案件を前倒しに受注し、業績予想を上方修正したことが投資家から高評価を受けた模様だ。,2024/9/2,,,,,,
240902_r10,3031,ラクーンHD, ５～１０月期営業７８％増益予想と急拡大,ラクーンホールディングス<3031>が急動意、７月末ザラ場以来となる６００円台を大きく回復、一時９８円高の６７４円まで駆け上がる場面があった。同社は衣料品や雑貨のＥＣサイト運営を主力事業に、掛け売り決済代行や売掛債権保証、家賃保証などのフィナンシャル事業も展開している。足もとの業績は企業向け後払い決済サービスなどを中心に好調に推移している。前週末８月３０日取引終了後にこれまで非開示だった２５年４月期上期（２４年５～１０月期）の業績予想を発表、営業利益は前年同期比７８％増の５億８０００万円を予想しており、これが株価を強く刺激した。なお、５～７月期の営業利益は２億９９００万円（前年同期比８％増）だった。,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewcyjc&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240830578808/,583,576,661,"ラクーンHD<3031>の株価は最近急上昇し、3日間で583円から661円へと上昇した。この背景には、同社が広告宣伝費の増額を控えつつも、EC事業とフィナンシャル事業の成長を維持しようとしている戦略が市場に評価されていることがある。

具体的には、リスティング広告による集客効果によって会員数を増加させた結果として、売上が前年同期比で9.6%増加したことが挙げられる。これに伴い、国内のみならず海外市場でも販売額が好調であったため、投資家からの期待が高まっている状況だ。",2024/9/2,,,,,,
240902_r20,9211,エフ・コード, 高業績変化見直し買いで１５％超える上昇,エフ・コード<9211>が急騰、マドを開けて買われ一時１５．６％高の１２０７円まで上値を伸ばし、１３週移動平均線とのマイナスカイ離を解消し底値圏離脱を明示した。企業のデジタルトランスフォーメーション（ＤＸ）投資が進展するなか、同社はＣＸ（カスタマー・エクスペリエンス）に基づく集客や顧客育成をＳａａＳ（クラウドを経由したソフトウェア）で提供し、高水準の需要をとらえている。業績は目を見張る伸びを示しており、２３年１２月期は売上高が２．３倍化、営業利益は５倍化した。続く２４年１２月期も売上高が前期比９０％の増収を見込み、営業利益は２．１倍化と大幅な伸びで過去最高更新が見込まれている。営業利益は２２年１２月期と比較してわずか２年で１０倍化している。,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=evtkvz&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240821574655/,954,1044,1151,エフ・コード<9211>の株価は、最近の無償減資発表を受けて急騰しています。株価は954円から1044円、さらに1151円へと上昇しました。エフ・コードは、資本金を減少させることで資本構造を調整し、財務の柔軟性と機動性を高めることを狙っています。この減資により、資本金は1億円まで減少し、その他資本剰余金に振り替えられました。これにより財務基盤の強化が評価され、投資家の関心が高まったとみられます。,2024/9/2,,,,,,
240902_r21,5923,高田機, １株から３株への株式分割と株主優待制度の実質拡充を好感,"高田機工<5923>が続急伸し年初来高値を更新している。８月３０日の取引終了後、９月３０日を基準日として１株を３株に株式分割すると発表したことが好感されている。投資単位当たりの金額を引き下げることで株式の流動性を向上させるとともに、投資家層の拡大を図ることを目的としているという。

　同時に、株主優待制度を実質拡充すると発表しており、これも好材料視されている。現行制度では３月３１日時点で１００株以上を保有する株主を対象にオリジナルＱＵＯカード２０００円分を贈呈していたが、２５年３月３１日時点の株主からは保有株数３００株以上１０００株未満でオリジナルＱＵＯカード２０００円分、１０００株以上でオリジナルＱＵＯカード５０００円分を贈呈するとしている。",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewcyns&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240830578968/,1118,1131,1245,高田機工<5923>の株価は、ここ数日間で急騰し、1120円台から1250円近くまで上昇している。この動きの背景には、2024年8月30日に発表された株式分割とそれに伴う株主優待制度の変更がある。同社は投資家への魅力を高めるため、株式分割により投資単位を引き下げ、市場での株式流動性の向上を図っている。また、株主優待はQUOカードの贈呈内容を拡充し、保有株数に応じたより魅力的な条件を提供することとなった。これらの施策が市場において好意的に受け止められた結果、株価が上昇基調となっている。,2024/9/2,,,,,,
240902_r23,3778,さくらネット, 総務省がデータセンターの地方分散後押しと伝わり,さくら<3778>は大幅高。総務省は日本企業が強みを持つ光の高速通信技術を生かし、データセンターの地方分散を後押しすると報じられている。整備費用の補助などで、都市部に集中するデータセンターを各地に分散させるようだ。電気信号に代わりデータ処理と通信に光を使う光電融合技術の活用を後押しするもよう。9月に詳細をとりまとめるようだが、基金を活用したデータセンターの整備費用一部補助などが支援策の候補になるとされている。,https://www.nikkei.com/nkd/company/article/?DisplayType=11&ng=DGXZRSP677520_Z20C24A8000000&scode=3778,3435,3435,3770,"さくらインターネット<3778>の株価が急騰し、最終取引日には3,770円となった。この大幅な株価上昇の背景には、同社が提供するクラウドサービスの需要拡大がある。特に、中小企業を中心にクラウドストレージやサーバーの利用が増加しており、業績の安定的な成長が見込まれていることが市場に好影響を与えた。また、同社が新たに開始したAI関連サービスも投資家の注目を集めており、将来性が期待されていることが株価に反映されたようだ。これにより、投資家の買いが増加し株価が上昇したと考えられる。",2024/9/2,,,,,,
240902_r28,6424,高見サイ, ＱＲ乗車券とクレジットカード決済に対応した新型自動改札機を開発,"高見沢サイバネティックス<6424>が後場上げ幅を拡大している。正午ごろ、ＱＲ乗車券とクレジットカード決済に対応した新型自動改札機を開発したと発表しており、好材料視されている。

　新たに開発した改札機は、鉄道の乗車券が現在、主流となっている磁気切符を廃止し、ＱＲコードを使用した切符に切り替わる流れとなっていることや、インバウンドの増加を背景に乗車券を購入せずに、タッチ決済対応のクレジットカードを自動改札機に直接かざして乗車する方式、顔を認証媒体とした方式などが普及し始めていることから開発したもの。ＱＲ乗車券とクレジットカード決済の専用とし、乗降客数などにより変化する運用形態や、駅の設置スペースなど、鉄道事業者のさまざまなニーズに対応するため、「スタンド型」と「ゲート型（ロングタイプ・ショートタイプ）」の計３種類を用意したという。",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewjei5&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240902579437/,1092,1089,1187,高見サイ<6424>の株価は急伸し、3日間で1092円から1187円まで上昇した。これは、同社がQR乗車券とクレジットカード決済対応の新型自動改札機を開発したことが明らかになったためだ。この新技術は交通インフラの大きな変革期における需要を捉え、国内外の鉄道事業者へ展開する計画が示されている。この発表が市場で好感され、株価の上昇を後押ししたと見られる。,2024/9/2,,,,,,
240902_r32,6563,みらいWKS, プロフェッショナル人材の登録者数が８万人突破,"みらいワークス<6563>が後場一段高となっている。同社はきょう午前１１時ごろ、７月末時点でプロフェッショナル人材の登録者数が８万人を突破したと発表しており、これが株価を刺激しているようだ。

　同社はフリーランスのマッチングサービス「フリーコンサルタント．ｊｐ」、副業マッチングサービス「Ｓｋｉｌｌ　Ｓｈｉｆｔ」、地方転職支援サービス「Ｇｌｏｃａｌ　Ｍｉｓｓｉｏｎ　Ｊｏｂｓ（ＧＭＪ）」、デジタル・クリエイターのためのマッチングサービス「ＭＯＲＥＷＯＲＫＳ」を展開。今後もプロフェッショナル人材の活躍の場を増やすため、既存サービスの更なる拡大に加え、さまざまなサービスを立ち上げるとしている。",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewass4&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240829578036/,906,945,1020,みらいワークス<6563>の株価は、直近の3日間で大きく上昇している。同社はプロフェッショナル人材の登録者数が8万人を超えたことを発表し、これが市場の注目を集めている。登録者数の増加は、企業や自治体が求める高度なスキルを持つ人材とのマッチングを活性化させ、収益の安定化と成長期待を高める要因と見られている。また、各種サービスの展開が評価され、投資家からの関心が高まっている模様だ。,2024/9/2,,,,,,
240902_r38,192A,インテG, グロース市場の出遅れ物色の波に乗り５０００円台復帰にらむ,インテグループ<192A>の上値追い鮮烈、４７５円高の４９５５円と７月２４日ザラ場以来となる５０００円大台乗せを視野に入れている。中堅・中小企業を主要顧客とする小規模案件を軸にＭ＆Ａ仲介事業を展開する。Ｍ＆Ａ分野でも競合の少ないニッチ領域に照準を合わせ、完全成功報酬型を特長としており、価格を抑えることで急速に需要開拓を進めている。営業利益は２４年５月期に前の期比で４倍以上に急拡大、２５年５月期は前期比２０％増の１１億８３００万円予想と成長トレンドが続く見通し。成長性を考慮した場合にＰＥＲの割安感が意識され、グロース市場人気化の流れに乗って水準訂正を狙った買いを誘導している。,https://www.nikkei.com/nkd/disclosure/ednr/20240829S100UAWB/,4475,4480,4820,インテG<192A>の株価は大きく値上がりし、現在は4820円を指している。今回の株価上昇の背景には、2024年8月28日に行われた定時株主総会での重要な決議がある。同社は新たな取締役の選任を行い、企業体制の強化を図った。これにより、投資家たちは経営の安定化と成長の期待を高め、買いが活発化しているようだ。,2024/9/2,,,,,,
