ID,コード,銘柄名,変動理由,株価変動記事,latest_article_url,終値2日前,終値1日前,終値0日前,生成記事,日付,"ROUGE-1, Pre","ROUGE-1, Recall","ROUGE-1, F","ROUGE-L, Pre","ROUGE-L, Recall","ROUGE-L, F"
240902_r01,3841,ジーダット, 仏企業と国内販売代理店契約を締結,ジーダット<3841>は大幅続伸。前週末８月３０日の取引終了後、半導体製造の市場投入までの時間を短縮する総合的なＡＩ駆動型プロセス制御プラットフォームを提供する仏ＰＯＬＬＥＮ　ＭＥＴＲＯＬＯＧＹと販売代理店契約を締結したと発表した。これにより、ジーダットは国内の半導体製造分野の顧客に対して、同プラットフォームを提供する。これを材料視した買いが入っている。,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewcydz&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240830578615/,1421,1500,1900,ジーダット<3841>の株価は、半導体製造分野での新たな取り組みが評価され、短期間で大きく変動した。初日の株価は1421円から1500円と若干の上昇を見せたが、3日目には1900円まで急騰した。この急激な上昇は、ジーダットがフランスのPOLLEN METROLOGY社と国内販売代理契約を締結し、AI駆動型プロセス制御プラットフォーム「Smart3」を提供することになったためだ。このパートナーシップにより、半導体の市場投入期間が短縮されることへの期待感が投資家心理を刺激した。,2024/9/2,,,,,,
240902_r02,9241,FLネット, 新会社『地域活性ＡＩテクノロジーズ』を設立,"フューチャーリンクネットワーク<9241>が動意づき、現在はストップ高カイ気配となっている。同社はきょうの取引開始前に、人工知能（ＡＩ）×地域活性化をテーマとした新会社「地域活性ＡＩテクノロジーズ」を設立したと発表。これが材料視されているようだ。

　新会社の事業内容は「ＡＩ技術を活用した地域活性化事業」「先進ＡＩ技術の開発検証事業」「ＡＩを中心としたリスキリング／ラーニング事業」など。ＦＬネットのノウハウと体制を生かしつつ、新しい技術の獲得、人材採用、他社とのアライアンスなど機動的に事業を推進するとしている",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewjeee&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240902579302/,1645,1616,2016,FLネット（銘柄コード：9241）の株価は直近3日間で劇的な変動を見せた。初日は1645円から始まり、翌日には1616円とやや下落したが、その後大幅な上昇を遂げ、2016円に達した。この急激な上昇の背後には、FLネットが新たに地域活性化を目的としたAI技術の開発を進めるために「地域活性AIテクノロジーズ株式会社」を設立したことがある。生成AI技術を活用し、効率化とコスト削減を図る同社の新たな取り組みが市場の期待を集め、株価上昇を誘発した。,2024/9/2,,,,,,
240902_r06,143A,イシン, ＢｔｏＧマーケティングサービスがタイミーに採用,"イシン<143A>が後場急伸しストップ高の１００７円に買われている。正午ごろ、雑誌「自治体通信」をはじめとするＢｔｏＧマーケティングサービスが、タイミー<215A>の自治体における認知拡大を支援するために採用されたと発表しており、これを好感した買いが流入している。

　地域が抱える人材課題解決の先進事例として、タイミーと連携協定を締結している地方自治体の取り組みや、地方の仕事を体験したい人と労働力を求める地方事業者をマッチングする「タイミートラベル」の活用事例を、イシンが発行する自治体職員向けの情報誌「自治体通信」へ掲載した。また今後も、官公庁と民間企業の共創を目指して、タイミーの自治体向けの販促・マーケティング支援及び地域経済の活性化や課題解決に貢献するとしている。",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewcyug&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240830579208/,849,857,1007,イシン株式会社<143A>の株価は、ここ数日で大幅な上昇を見せた。これには、848円から始まり、翌日857円、そして最終的に1007円に達するという、3日間で約18%の上昇があった。この急騰の背景には、株式会社タイミーとの自治体向けマーケティングサービス提供がある。イシンのBtoGマーケティングサービスは、タイミーの自治体との認知拡大を支援することが決定され、これが市場に好意的に受け取られた結果と考えられる。,2024/9/2,,,,,,
240902_r07,4263,サスメド, 不眠障害アプリで保険収載手続きに向け一部変更承認申請を実施,サスメド<4263>がカイ気配。同社は前週末８月３０日の取引終了後、不眠障害用プログラム「サスメドＭｅｄ　ＣＢＴ－ｉ不眠障害用アプリ」に関し、製造販売承認事項一部変更承認申請を行ったと発表した。２０２４年度の診療報酬改定時の議論で、医師が実施する対面式の認知行動療法の不眠症への適用拡大が見送られ、同社が想定していた診療報酬を準用する形での保険収載も見送りになった。今回、同年度の診療報酬改定で、疾患治療用プログラムについて原則として特定保険医療材料として評価するといった保険医療材料制度の見直しが行われたことに伴い、改定後の制度を踏まえて保険収載の手続きを進めるため、申請を行った。発表をポジティブ視した買いが集まったようだ。一部変更が承認された場合、中央社会保険医療協議会などでの了承を経て保険収載が行われることとなるが、具体的な日程は現時点では未定という。,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewcyip&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240830578785/,576,576,676,サスメド<4263>の株価は、3日間でほぼ横ばいから急上昇しました。具体的には、初日から2日目までは576円で停滞した後、3日目に676円へと一気に値を上げました。この急変動の背景には、「サスメド Med CBT-i®不眠障害用アプリ」が一部承認変更申請を行ったことが影響しています。この新たな動きが市場参加者に好感され、株価にプラスの影響を与えたと考えられます。,2024/9/2,,,,,,
240902_r09,4813,ACCESS, ２～７月期営業赤字縮小,"ＡＣＣＥＳＳ<4813>が大幅続伸。前週末８月３０日取引終了後に２～７月期連結決算を発表し、売上高は８０億５９００万円（前年同期比１９．６％増）、営業損益は６億５０００万円の赤字（前年同期１１億２５００万円の赤字）となった。大幅な増収と営業赤字縮小を好感した買いが入っている。

　ネットワーク機器向けソフトウェアなどを手掛ける主力のネットワーク事業が大きく伸びたほか、ＩｏＴソリューションなどを提供するＩｏＴ事業も堅調だった。なお、通期の増収・営業黒字見通しに変更はない。",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewcypp&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240830579037/,1170,1197,1381,ACCESSの株価は、三日間で1170円から1381円まで上昇し、その背景には複数の要因がある。まず、ネットワーク事業の成長が特に顕著で、売上が前年同期比で大幅に増加した。さらに発表された2025年1月期の業績予想では、全セグメントにわたって損益が改善しており、これが投資家の期待を引き上げた。また、同社は新規顧客を積極的に獲得し、業績の上方修正を発表するなど、経営戦略が成功している。これらの要因が相まって、株価の高騰に寄与したと考えられる。,2024/9/2,,,,,,
240902_r10,3031,ラクーンHD, ５～１０月期営業７８％増益予想と急拡大,ラクーンホールディングス<3031>が急動意、７月末ザラ場以来となる６００円台を大きく回復、一時９８円高の６７４円まで駆け上がる場面があった。同社は衣料品や雑貨のＥＣサイト運営を主力事業に、掛け売り決済代行や売掛債権保証、家賃保証などのフィナンシャル事業も展開している。足もとの業績は企業向け後払い決済サービスなどを中心に好調に推移している。前週末８月３０日取引終了後にこれまで非開示だった２５年４月期上期（２４年５～１０月期）の業績予想を発表、営業利益は前年同期比７８％増の５億８０００万円を予想しており、これが株価を強く刺激した。なお、５～７月期の営業利益は２億９９００万円（前年同期比８％増）だった。,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewcyjc&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240830578808/,583,576,661,ラクーンHDの株価が661円に上昇した理由は、主に同社の積極的な広告投資と流通額の増加にあります。当四半期でEC事業を強化し、「スーパーデリバリー」による購入客数と客単価の向上に成功しました。特に、アメリカや韓国市場での販促と広告投資の効果が顕著で、安定した成長を続けています。また、台湾でも流通額が回復基調に戻り、国内外での業績が好調だったことが株価上昇の一因となっています。,2024/9/2,,,,,,
240902_r20,9211,エフ・コード, 高業績変化見直し買いで１５％超える上昇,エフ・コード<9211>が急騰、マドを開けて買われ一時１５．６％高の１２０７円まで上値を伸ばし、１３週移動平均線とのマイナスカイ離を解消し底値圏離脱を明示した。企業のデジタルトランスフォーメーション（ＤＸ）投資が進展するなか、同社はＣＸ（カスタマー・エクスペリエンス）に基づく集客や顧客育成をＳａａＳ（クラウドを経由したソフトウェア）で提供し、高水準の需要をとらえている。業績は目を見張る伸びを示しており、２３年１２月期は売上高が２．３倍化、営業利益は５倍化した。続く２４年１２月期も売上高が前期比９０％の増収を見込み、営業利益は２．１倍化と大幅な伸びで過去最高更新が見込まれている。営業利益は２２年１２月期と比較してわずか２年で１０倍化している。,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=evtkvz&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240821574655/,954,1044,1151,エフ・コード<9211>は、最近3日間で株価が急上昇し、その背景には資本政策に関する重要な決定がある。具体的には、資本金と資本準備金を大幅に減少させる旨が明らかにされ、これが市場の注目を集めた。本決定は、財務及び税務戦略の一環として行われ、会社の柔軟な資本政策を維持する目的であるとされている。これが投資家の期待を高め、投資を促進した結果、株価が上昇したと考えられる。,2024/9/2,,,,,,
240902_r21,5923,高田機, １株から３株への株式分割と株主優待制度の実質拡充を好感,"高田機工<5923>が続急伸し年初来高値を更新している。８月３０日の取引終了後、９月３０日を基準日として１株を３株に株式分割すると発表したことが好感されている。投資単位当たりの金額を引き下げることで株式の流動性を向上させるとともに、投資家層の拡大を図ることを目的としているという。

　同時に、株主優待制度を実質拡充すると発表しており、これも好材料視されている。現行制度では３月３１日時点で１００株以上を保有する株主を対象にオリジナルＱＵＯカード２０００円分を贈呈していたが、２５年３月３１日時点の株主からは保有株数３００株以上１０００株未満でオリジナルＱＵＯカード２０００円分、１０００株以上でオリジナルＱＵＯカード５０００円分を贈呈するとしている。",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewcyns&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240830578968/,1118,1131,1245,高田機<5923>の株価は、直近の3日間で1118円から1245円に上昇した。この株価の変動の背景には、同社の株式分割の決定がある。2024年8月30日に発表されたこの株式分割は、株式の流動性を向上させ、投資家層の拡大を目的としている。また、株主優待制度も同時に変更されることから、投資家にとってさらに魅力的な選択肢となっている。このような戦略的な動きが市場の期待を高め、株価の上昇につながったと言える。,2024/9/2,,,,,,
240902_r23,3778,さくらネット, 総務省がデータセンターの地方分散後押しと伝わり,さくら<3778>は大幅高。総務省は日本企業が強みを持つ光の高速通信技術を生かし、データセンターの地方分散を後押しすると報じられている。整備費用の補助などで、都市部に集中するデータセンターを各地に分散させるようだ。電気信号に代わりデータ処理と通信に光を使う光電融合技術の活用を後押しするもよう。9月に詳細をとりまとめるようだが、基金を活用したデータセンターの整備費用一部補助などが支援策の候補になるとされている。,https://www.nikkei.com/nkd/company/article/?DisplayType=11&ng=DGXZRSP677520_Z20C24A8000000&scode=3778,3435,3435,3770,さくらネット<3778>の株価は、最近の3日間で3435円から3770円へと大幅に上昇しました。このジャンプは、企業の業績改善が予想以上であったことが市場に評価されたためです。背景には、同社が提供するクラウドサービスの需要が急増しており、新しいサービスプラットフォームの導入が成功したことが挙げられます。また、全体的なデジタルシフトの追い風を受けて、関連企業との提携や新規プロジェクトが進展していることも、この株価の上昇を後押しした要因となっています。,2024/9/2,,,,,,
240902_r28,6424,高見サイ, ＱＲ乗車券とクレジットカード決済に対応した新型自動改札機を開発,"高見沢サイバネティックス<6424>が後場上げ幅を拡大している。正午ごろ、ＱＲ乗車券とクレジットカード決済に対応した新型自動改札機を開発したと発表しており、好材料視されている。

　新たに開発した改札機は、鉄道の乗車券が現在、主流となっている磁気切符を廃止し、ＱＲコードを使用した切符に切り替わる流れとなっていることや、インバウンドの増加を背景に乗車券を購入せずに、タッチ決済対応のクレジットカードを自動改札機に直接かざして乗車する方式、顔を認証媒体とした方式などが普及し始めていることから開発したもの。ＱＲ乗車券とクレジットカード決済の専用とし、乗降客数などにより変化する運用形態や、駅の設置スペースなど、鉄道事業者のさまざまなニーズに対応するため、「スタンド型」と「ゲート型（ロングタイプ・ショートタイプ）」の計３種類を用意したという。",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewjei5&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240902579437/,1092,1089,1187,高見サイ<6424>の株価は3日間で1092円、1089円、1187円と推移し、最終日に大きく上昇した。この株価上昇の背景には、同社がQR乗車券やクレジットカード決済対応の新型自動改札機を開発したことが挙げられる。この技術革新は、交通システムの変革期における需要に応えるものであり、高見サイの市場価値および期待感を高めた結果といえる。,2024/9/2,,,,,,
