ID,コード,銘柄,変動記事タイトル,変動記事本文,URL,終値2日前,終値1日前,終値0日前,生成記事,記事の日付,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
240902_r01,3841,ジーダット, 仏企業と国内販売代理店契約を締結,ジーダット<3841>は大幅続伸。前週末８月３０日の取引終了後、半導体製造の市場投入までの時間を短縮する総合的なＡＩ駆動型プロセス制御プラットフォームを提供する仏ＰＯＬＬＥＮ　ＭＥＴＲＯＬＯＧＹと販売代理店契約を締結したと発表した。これにより、ジーダットは国内の半導体製造分野の顧客に対して、同プラットフォームを提供する。これを材料視した買いが入っている。,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewcydz&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240830578615/,1421,1500,1900,ジーダット<3841>が株価を急騰させている。直近日には1421円から始まり、最終日には1900円に到達した。株価上昇の背景には、フランスのPOLLEN METROLOGY社との戦略的提携がある。ジーダットは、AI駆動型プロセス制御プラットフォーム「Smart3」の国内販売を開始し、半導体製造の市場投入を加速させる狙いだ。この提携を通じて、日本の半導体分野での高付加価値提供を目指し、生産性の向上が期待されている。市場では、こうした動きを好感した買いが集まった。,2024/9/2,,,,,,
240902_r07,4263,サスメド, 不眠障害アプリで保険収載手続きに向け一部変更承認申請を実施,サスメド<4263>がカイ気配。同社は前週末８月３０日の取引終了後、不眠障害用プログラム「サスメドＭｅｄ　ＣＢＴ－ｉ不眠障害用アプリ」に関し、製造販売承認事項一部変更承認申請を行ったと発表した。２０２４年度の診療報酬改定時の議論で、医師が実施する対面式の認知行動療法の不眠症への適用拡大が見送られ、同社が想定していた診療報酬を準用する形での保険収載も見送りになった。今回、同年度の診療報酬改定で、疾患治療用プログラムについて原則として特定保険医療材料として評価するといった保険医療材料制度の見直しが行われたことに伴い、改定後の制度を踏まえて保険収載の手続きを進めるため、申請を行った。発表をポジティブ視した買いが集まったようだ。一部変更が承認された場合、中央社会保険医療協議会などでの了承を経て保険収載が行われることとなるが、具体的な日程は現時点では未定という。,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewcyip&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240830578785/,576,576,676,サスメド<4263>は、株価が急騰し現在676円に達した。同社は「サスメド Med CBT-i®不眠障害用アプリ」に関し、製造販売承認の変更申請を行ったことが材料視されている。スマートフォンを活用した認知行動療法アプリが市場で注目されており、この動きが株式市場で好感された模様だ。不眠障害に対するアプリの効果が実証されつつあることも、投資家の関心を引き株価を押し上げたと考えられる。,2024/9/2,,,,,,
240902_r09,4813,ACCESS, ２～７月期営業赤字縮小,"ＡＣＣＥＳＳ<4813>が大幅続伸。前週末８月３０日取引終了後に２～７月期連結決算を発表し、売上高は８０億５９００万円（前年同期比１９．６％増）、営業損益は６億５０００万円の赤字（前年同期１１億２５００万円の赤字）となった。大幅な増収と営業赤字縮小を好感した買いが入っている。

　ネットワーク機器向けソフトウェアなどを手掛ける主力のネットワーク事業が大きく伸びたほか、ＩｏＴソリューションなどを提供するＩｏＴ事業も堅調だった。なお、通期の増収・営業黒字見通しに変更はない。",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewcypp&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240830579037/,1170,1197,1381,ACCESS<4813>の株価が連日上昇し、最新の取引で1381円を記録している。同社は2025年1月期上期の業績が予想よりも良好であったことを受けて、投資家の期待が高まっている様子だ。特にネットワーク事業を中心にすべてのセグメントで損益が改善し、赤字幅が前年同期比で大幅に縮小した点が好材料視されている。さらに、2025年1月期には売上高の増加とともに5期ぶりの黒字化が予測されており、これが株価を押し上げる一因となっている。また、IoT事業やWebプラットフォーム事業も成長を続け、全セグメントで黒字化を達成する見通しが立っていることから、今後も投資家の関心を集めそうだ。,2024/9/2,,,,,,
240902_r10,3031,ラクーンHD, ５～１０月期営業７８％増益予想と急拡大,ラクーンホールディングス<3031>が急動意、７月末ザラ場以来となる６００円台を大きく回復、一時９８円高の６７４円まで駆け上がる場面があった。同社は衣料品や雑貨のＥＣサイト運営を主力事業に、掛け売り決済代行や売掛債権保証、家賃保証などのフィナンシャル事業も展開している。足もとの業績は企業向け後払い決済サービスなどを中心に好調に推移している。前週末８月３０日取引終了後にこれまで非開示だった２５年４月期上期（２４年５～１０月期）の業績予想を発表、営業利益は前年同期比７８％増の５億８０００万円を予想しており、これが株価を強く刺激した。なお、５～７月期の営業利益は２億９９００万円（前年同期比８％増）だった。,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewcyjc&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240830578808/,583,576,661,"ラクーンHD<3031>の株価が上昇し、661円で推移している。同社の2025年4月期第1四半期の売上高が前年同期比9.6%増の1,523,582千円となったことが材料視されている。EC事業やフィナンシャル事業での顧客獲得が好調に進んだことが大きな要因だ。また、リスティング広告への積極的な投資も集客効果をもたらし、事業成長に寄与している。国内経済の回復を背景としたインバウンド需要の恩恵も株価上昇を後押ししたとみられる。ただし、為替変動や物価上昇といった市場リスクも存在し、今後の動向には注視が必要だ。",2024/9/2,,,,,,
240902_r20,9211,エフ・コード, 高業績変化見直し買いで１５％超える上昇,エフ・コード<9211>が急騰、マドを開けて買われ一時１５．６％高の１２０７円まで上値を伸ばし、１３週移動平均線とのマイナスカイ離を解消し底値圏離脱を明示した。企業のデジタルトランスフォーメーション（ＤＸ）投資が進展するなか、同社はＣＸ（カスタマー・エクスペリエンス）に基づく集客や顧客育成をＳａａＳ（クラウドを経由したソフトウェア）で提供し、高水準の需要をとらえている。業績は目を見張る伸びを示しており、２３年１２月期は売上高が２．３倍化、営業利益は５倍化した。続く２４年１２月期も売上高が前期比９０％の増収を見込み、営業利益は２．１倍化と大幅な伸びで過去最高更新が見込まれている。営業利益は２２年１２月期と比較してわずか２年で１０倍化している。,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=evtkvz&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240821574655/,954,1044,1151,"エフ・コード<9211>の株価はこの3日間で大きく上昇し、954円から1151円に達した。企業は資本金を10,000,000円に減少し、資本準備金を0円にすると発表。これにより財務政策の柔軟性を高める狙いがある。11月5日に予定される臨時株主総会では、これらの減少について議論がされる見通しだ。投資家は、この総会での決定がどのように市場に受け止められるか注目している。",2024/9/2,,,,,,
240902_r21,5923,高田機, １株から３株への株式分割と株主優待制度の実質拡充を好感,"高田機工<5923>が続急伸し年初来高値を更新している。８月３０日の取引終了後、９月３０日を基準日として１株を３株に株式分割すると発表したことが好感されている。投資単位当たりの金額を引き下げることで株式の流動性を向上させるとともに、投資家層の拡大を図ることを目的としているという。

　同時に、株主優待制度を実質拡充すると発表しており、これも好材料視されている。現行制度では３月３１日時点で１００株以上を保有する株主を対象にオリジナルＱＵＯカード２０００円分を贈呈していたが、２５年３月３１日時点の株主からは保有株数３００株以上１０００株未満でオリジナルＱＵＯカード２０００円分、１０００株以上でオリジナルＱＵＯカード５０００円分を贈呈するとしている。",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewcyns&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240830578968/,1118,1131,1245,高田機工<5923>の株価が活発な動きを見せている。9月30日の株式分割発表を受け、株価は上昇し、最新取引で1245円を記録した。今回の1株を3株に分割する措置は、株価の流動性向上と投資家層の拡大を目指している。また、この分割に伴う資本金の変更はないため、財政面への影響も限定的とされる。さらに、株主優待制度も拡充され、長期保有を促す施策が投資家の注目を集めている。配当予想の修正もあり、これらの発表が好意的に受け止められ、買いが進んでいるようだ。,2024/9/2,,,,,,
240902_r23,3778,さくらネット, 総務省がデータセンターの地方分散後押しと伝わり,さくら<3778>は大幅高。総務省は日本企業が強みを持つ光の高速通信技術を生かし、データセンターの地方分散を後押しすると報じられている。整備費用の補助などで、都市部に集中するデータセンターを各地に分散させるようだ。電気信号に代わりデータ処理と通信に光を使う光電融合技術の活用を後押しするもよう。9月に詳細をとりまとめるようだが、基金を活用したデータセンターの整備費用一部補助などが支援策の候補になるとされている。,https://www.nikkei.com/nkd/company/article/?DisplayType=11&ng=DGXZRSP677520_Z20C24A8000000&scode=3778,3435,3435,3770,さくらネット<3778>の株価は3日間で大きく上昇し、初日の3435円から最終日には3770円となっている。この急伸は、市場で同社に関するポジティブな要素が評価された可能性があるが、具体的な理由は明らかではない。情報不足のため、投資家の間での噂や期待が株価を押し上げた可能性も否定できない。こうした背景には、技術分野での新たな展開や提携に対する期待、あるいは業績改善の憶測などが影響していることが考えられる。,2024/9/2,,,,,,
240902_r28,6424,高見サイ, ＱＲ乗車券とクレジットカード決済に対応した新型自動改札機を開発,"高見沢サイバネティックス<6424>が後場上げ幅を拡大している。正午ごろ、ＱＲ乗車券とクレジットカード決済に対応した新型自動改札機を開発したと発表しており、好材料視されている。

　新たに開発した改札機は、鉄道の乗車券が現在、主流となっている磁気切符を廃止し、ＱＲコードを使用した切符に切り替わる流れとなっていることや、インバウンドの増加を背景に乗車券を購入せずに、タッチ決済対応のクレジットカードを自動改札機に直接かざして乗車する方式、顔を認証媒体とした方式などが普及し始めていることから開発したもの。ＱＲ乗車券とクレジットカード決済の専用とし、乗降客数などにより変化する運用形態や、駅の設置スペースなど、鉄道事業者のさまざまなニーズに対応するため、「スタンド型」と「ゲート型（ロングタイプ・ショートタイプ）」の計３種類を用意したという。",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewjei5&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240902579437/,1092,1089,1187,高見サイ<6424>は、株価が3日間で上昇し、最終日には1187円を記録している。同社はQR乗車券やクレジットカード決済、さらには顔認証に対応する新型自動改札機を開発。この技術革新が交通機関の効率化に寄与するとして市場の関心を集めている。交通システム機器の市場が急速に変革する中、高見サイはキャッシュレス決済普及に合わせた製品開発に注力。これが同社の競争力を高め、株価上昇の要因となったと考えられる。,2024/9/2,,,,,,
240902_r32,6563,みらいWKS, プロフェッショナル人材の登録者数が８万人突破,"みらいワークス<6563>が後場一段高となっている。同社はきょう午前１１時ごろ、７月末時点でプロフェッショナル人材の登録者数が８万人を突破したと発表しており、これが株価を刺激しているようだ。

　同社はフリーランスのマッチングサービス「フリーコンサルタント．ｊｐ」、副業マッチングサービス「Ｓｋｉｌｌ　Ｓｈｉｆｔ」、地方転職支援サービス「Ｇｌｏｃａｌ　Ｍｉｓｓｉｏｎ　Ｊｏｂｓ（ＧＭＪ）」、デジタル・クリエイターのためのマッチングサービス「ＭＯＲＥＷＯＲＫＳ」を展開。今後もプロフェッショナル人材の活躍の場を増やすため、既存サービスの更なる拡大に加え、さまざまなサービスを立ち上げるとしている。",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewass4&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240829578036/,906,945,1020,みらいワークス<6563>の株価が好調で、三日間で906円から1020円へと上昇した。同社の成長を後押しする要因として、事業の積極的な拡大が挙げられる。フリーランスや副業のマッチングサービス『フリーコンサルタント.jp』『Skill Shift』に加え、デジタルクリエイター向けの『MOREWORKS』をM&Aにより展開している点が、投資家の期待を集めている。登録プロフェッショナル人材が8万人を突破したことも市場シェア拡大につながっている。また、地方自治体のDX推進や中小企業との連携強化など、地域経済への寄与が業績への期待感を高めているようだ。これらの取り組みが市場で高く評価され、株価押し上げの要因となっている。,2024/9/2,,,,,,
240902_r38,192A,インテG, グロース市場の出遅れ物色の波に乗り５０００円台復帰にらむ,インテグループ<192A>の上値追い鮮烈、４７５円高の４９５５円と７月２４日ザラ場以来となる５０００円大台乗せを視野に入れている。中堅・中小企業を主要顧客とする小規模案件を軸にＭ＆Ａ仲介事業を展開する。Ｍ＆Ａ分野でも競合の少ないニッチ領域に照準を合わせ、完全成功報酬型を特長としており、価格を抑えることで急速に需要開拓を進めている。営業利益は２４年５月期に前の期比で４倍以上に急拡大、２５年５月期は前期比２０％増の１１億８３００万円予想と成長トレンドが続く見通し。成長性を考慮した場合にＰＥＲの割安感が意識され、グロース市場人気化の流れに乗って水準訂正を狙った買いを誘導している。,https://www.nikkei.com/nkd/disclosure/ednr/20240829S100UAWB/,4475,4480,4820,インテG<192A>の株価は、この3日間で急伸しており、最終的には4820円となった。2024年8月に開催された株主総会で、取締役6名の選任が可決されたことが材料とされている。この人事が投資家にとって好意的に受け止められ、新たな経営陣に対する期待感が株価上昇を後押ししたと考えられる。企業運営や戦略の刷新が見込まれる中、投資家の関心が高まっている模様だ。,2024/9/2,,,,,,
