ID,コード,銘柄名,変動理由,株価変動記事,latest_article_url,終値2日前,終値1日前,終値0日前,生成記事,日付,"ROUGE-1, Pre","ROUGE-1, Recall","ROUGE-1, F","ROUGE-L, Pre","ROUGE-L, Recall","ROUGE-L, F"
240902_r01,3841,ジーダット, 仏企業と国内販売代理店契約を締結,ジーダット<3841>は大幅続伸。前週末８月３０日の取引終了後、半導体製造の市場投入までの時間を短縮する総合的なＡＩ駆動型プロセス制御プラットフォームを提供する仏ＰＯＬＬＥＮ　ＭＥＴＲＯＬＯＧＹと販売代理店契約を締結したと発表した。これにより、ジーダットは国内の半導体製造分野の顧客に対して、同プラットフォームを提供する。これを材料視した買いが入っている。,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewcydz&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240830578615/,1421,1500,1900,ジーダット<3841>の株価は、この3日間で劇的に上昇し、1421円から1900円へと急騰した。この株価の急上昇の背景には、POLLEN METROLOGYとの販売代理店契約の締結がある。この契約により、ジーダットはAI駆動型プロセス制御プラットフォームを提供し、半導体製造における技術的優位性を手に入れた。特に、画像解析技術による生産歩留まりの最適化と市場投入までの時間短縮が注目され、業務プロセスの効率化と市場競争力の向上が投資家の関心を引き、株価の大幅な上昇を引き起こしたと言える。,2025/9/2,,,,,,
240902_r02,9241,FLネット, 新会社『地域活性ＡＩテクノロジーズ』を設立,"フューチャーリンクネットワーク<9241>が動意づき、現在はストップ高カイ気配となっている。同社はきょうの取引開始前に、人工知能（ＡＩ）×地域活性化をテーマとした新会社「地域活性ＡＩテクノロジーズ」を設立したと発表。これが材料視されているようだ。

　新会社の事業内容は「ＡＩ技術を活用した地域活性化事業」「先進ＡＩ技術の開発検証事業」「ＡＩを中心としたリスキリング／ラーニング事業」など。ＦＬネットのノウハウと体制を生かしつつ、新しい技術の獲得、人材採用、他社とのアライアンスなど機動的に事業を推進するとしている",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewjeee&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240902579302/,1645,1616,2016,FLネット<9241>の株価が最近大きく動いた。ここ三日間で1645円から1616円に一旦下落し、その後2016円に一気に上昇した。この劇的な変動の理由は、FLネットがAI技術を駆使した地域活性化を目的に新会社「地域活性AIテクノロジーズ株式会社」を設立し、新サービスを展開したことにある。さらに、生産性を高めるために生成AI技術を活用して業務の効率化を図り、これによりコスト削減とサービスの質向上を目指している。また、他社とのアライアンスを通じて新たな事業機会を創出しようとしており、これらの積極的な取り組みが投資家たちの期待を集めた。これにより、FLネットの事業多角化と新市場への拡大が見込まれ、市場の評価に反映されて株価が急騰した。,2025/9/2,,,,,,
240902_r06,143A,イシン, ＢｔｏＧマーケティングサービスがタイミーに採用,"イシン<143A>が後場急伸しストップ高の１００７円に買われている。正午ごろ、雑誌「自治体通信」をはじめとするＢｔｏＧマーケティングサービスが、タイミー<215A>の自治体における認知拡大を支援するために採用されたと発表しており、これを好感した買いが流入している。

　地域が抱える人材課題解決の先進事例として、タイミーと連携協定を締結している地方自治体の取り組みや、地方の仕事を体験したい人と労働力を求める地方事業者をマッチングする「タイミートラベル」の活用事例を、イシンが発行する自治体職員向けの情報誌「自治体通信」へ掲載した。また今後も、官公庁と民間企業の共創を目指して、タイミーの自治体向けの販促・マーケティング支援及び地域経済の活性化や課題解決に貢献するとしている。",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewcyug&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240830579208/,849,857,1007,イシン<143A>の株価は過去3日間で大きく変動し、849円から857円、そして一気に1007円へと上昇した。この急激な株価上昇の背景には、いくつかの要因がある。まず、イシンは株式会社タイミーとの提携により、自治体向けのBtoGマーケティングサービスを開始した。このサービスによって自治体との連携が強化され、企業の認知度向上につながっている。また、『自治体通信』の活用が促進され、自治体DXや防災などの分野での影響力を増している。さらに、2024年3月に東京証券取引所のグロース市場へ上場したことが、株式市場での注目を集めた。これらの要因が相まって、イシンの株価に大きなポジティブな影響を与えた。,2025/9/2,,,,,,
240902_r07,4263,サスメド, 不眠障害アプリで保険収載手続きに向け一部変更承認申請を実施,サスメド<4263>がカイ気配。同社は前週末８月３０日の取引終了後、不眠障害用プログラム「サスメドＭｅｄ　ＣＢＴ－ｉ不眠障害用アプリ」に関し、製造販売承認事項一部変更承認申請を行ったと発表した。２０２４年度の診療報酬改定時の議論で、医師が実施する対面式の認知行動療法の不眠症への適用拡大が見送られ、同社が想定していた診療報酬を準用する形での保険収載も見送りになった。今回、同年度の診療報酬改定で、疾患治療用プログラムについて原則として特定保険医療材料として評価するといった保険医療材料制度の見直しが行われたことに伴い、改定後の制度を踏まえて保険収載の手続きを進めるため、申請を行った。発表をポジティブ視した買いが集まったようだ。一部変更が承認された場合、中央社会保険医療協議会などでの了承を経て保険収載が行われることとなるが、具体的な日程は現時点では未定という。,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewcyip&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240830578785/,576,576,676,サスメド<4263>の株価は、3日間で大きな変動を見せた。最初の2日間は576円で推移したが、3日目には676円に跳ね上がった。この急騰の背景には、サスメドが不眠障害用アプリ「サスメド Med CBT-i」の製造販売承認事項に変更の申請を行ったことが挙げられる。このアプリは日本で唯一承認された不眠障害治療用プログラムであり、保険適用の進展が期待されている。現時点で業績への影響は軽微とされるが、将来的な保険適用拡大や市場での競争力維持が、株式市場での評価にポジティブに働く可能性が高い。このため、投資家の期待感が株価に反映されたと言えるだろう。,2025/9/2,,,,,,
240902_r09,4813,ACCESS, ２～７月期営業赤字縮小,"ＡＣＣＥＳＳ<4813>が大幅続伸。前週末８月３０日取引終了後に２～７月期連結決算を発表し、売上高は８０億５９００万円（前年同期比１９．６％増）、営業損益は６億５０００万円の赤字（前年同期１１億２５００万円の赤字）となった。大幅な増収と営業赤字縮小を好感した買いが入っている。

　ネットワーク機器向けソフトウェアなどを手掛ける主力のネットワーク事業が大きく伸びたほか、ＩｏＴソリューションなどを提供するＩｏＴ事業も堅調だった。なお、通期の増収・営業黒字見通しに変更はない。",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewcypp&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240830579037/,1170,1197,1381,ACCESS<4813>の株価は、3日間で1170円から始まり、1197円を経て1381円へと大きく上昇した。この急な株価上昇の背景には、同社の事業の成長と改善がある。特にネットワーク事業とIoT事業での売上高成長が顕著で、新規顧客の獲得に成功し、前年同期比で業績が大幅に改善している。さらに、全てのセグメントで損益改善が見られ、赤字幅の縮小が進んでいることも影響している。これらに加え、下期に予定していた案件の前倒し受注による業績予想の上方修正が、投資家にポジティブな期待を抱かせ、株価を押し上げたと考えられる。,2025/9/2,,,,,,
240902_r10,3031,ラクーンHD, ５～１０月期営業７８％増益予想と急拡大,ラクーンホールディングス<3031>が急動意、７月末ザラ場以来となる６００円台を大きく回復、一時９８円高の６７４円まで駆け上がる場面があった。同社は衣料品や雑貨のＥＣサイト運営を主力事業に、掛け売り決済代行や売掛債権保証、家賃保証などのフィナンシャル事業も展開している。足もとの業績は企業向け後払い決済サービスなどを中心に好調に推移している。前週末８月３０日取引終了後にこれまで非開示だった２５年４月期上期（２４年５～１０月期）の業績予想を発表、営業利益は前年同期比７８％増の５億８０００万円を予想しており、これが株価を強く刺激した。なお、５～７月期の営業利益は２億９９００万円（前年同期比８％増）だった。,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewcyjc&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240830578808/,583,576,661,ラクーンHD<3031>の株価は、最近3日間で劇的な動きを見せた。初めは1株583円だったが、翌日には576円に小幅に低下、その後一気に661円まで急騰した。この背景には、同社の売上高と利益の増加が大きく影響している。2025年第1四半期では、売上高が前年同期比9.6%増加し、営業利益も7.6%の増加を記録した。また、主力のEC事業の成長や、「スーパーデリバリー」の国内・海外流通額の増加も好材料として受け止められた。さらに、将来の業績予想が明るく、前年比約1.2倍の営業利益成長が見込まれていることもあり、投資家の期待が高まりつつある。,2025/9/2,,,,,,
240902_r20,9211,エフ・コード, 高業績変化見直し買いで１５％超える上昇,エフ・コード<9211>が急騰、マドを開けて買われ一時１５．６％高の１２０７円まで上値を伸ばし、１３週移動平均線とのマイナスカイ離を解消し底値圏離脱を明示した。企業のデジタルトランスフォーメーション（ＤＸ）投資が進展するなか、同社はＣＸ（カスタマー・エクスペリエンス）に基づく集客や顧客育成をＳａａＳ（クラウドを経由したソフトウェア）で提供し、高水準の需要をとらえている。業績は目を見張る伸びを示しており、２３年１２月期は売上高が２．３倍化、営業利益は５倍化した。続く２４年１２月期も売上高が前期比９０％の増収を見込み、営業利益は２．１倍化と大幅な伸びで過去最高更新が見込まれている。営業利益は２２年１２月期と比較してわずか２年で１０倍化している。,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=evtkvz&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240821574655/,954,1044,1151,エフ・コード<9211>の株価は、3日間で驚くべき変動を見せた。初日は954円で始まったが、次の日には1044円に上昇し、最終日には1151円に達した。この好調な株価の背景には、同社が発表した資本金と資本準備金の減少計画がある。具体的には、資本金を無償減資し、その他の資本剰余金に振り替えることで、柔軟な資本政策を実現しようとしている。この戦略は、純資産総額や発行済株式数に影響を与えないため、短期的に株価にプラスに作用した可能性が高い。発表後の株主総会承認も注目されている。,2025/9/2,,,,,,
240902_r21,5923,高田機, １株から３株への株式分割と株主優待制度の実質拡充を好感,"高田機工<5923>が続急伸し年初来高値を更新している。８月３０日の取引終了後、９月３０日を基準日として１株を３株に株式分割すると発表したことが好感されている。投資単位当たりの金額を引き下げることで株式の流動性を向上させるとともに、投資家層の拡大を図ることを目的としているという。

　同時に、株主優待制度を実質拡充すると発表しており、これも好材料視されている。現行制度では３月３１日時点で１００株以上を保有する株主を対象にオリジナルＱＵＯカード２０００円分を贈呈していたが、２５年３月３１日時点の株主からは保有株数３００株以上１０００株未満でオリジナルＱＵＯカード２０００円分、１０００株以上でオリジナルＱＵＯカード５０００円分を贈呈するとしている。",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewcyns&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240830578968/,1118,1131,1245,高田機<5923>の株価は、3日間で1118円から1245円へと上昇した。この変動は、同社が発表した株式分割が主な要因と考えられる。1株を3株に分割することで流動性が向上し、多くの投資家が関心を寄せた。また、これに伴う定款の変更や1株当たり配当金の修正、さらには株主優待制度の拡充が投資魅力を増し、株価にポジティブな影響を及ぼしたとされる。こうした施策により、高田機の株は注目を集めている。,2025/9/2,,,,,,
240902_r23,3778,さくらネット, 総務省がデータセンターの地方分散後押しと伝わり,さくら<3778>は大幅高。総務省は日本企業が強みを持つ光の高速通信技術を生かし、データセンターの地方分散を後押しすると報じられている。整備費用の補助などで、都市部に集中するデータセンターを各地に分散させるようだ。電気信号に代わりデータ処理と通信に光を使う光電融合技術の活用を後押しするもよう。9月に詳細をとりまとめるようだが、基金を活用したデータセンターの整備費用一部補助などが支援策の候補になるとされている。,https://www.nikkei.com/nkd/company/article/?DisplayType=11&ng=DGXZRSP677520_Z20C24A8000000&scode=3778,3435,3435,3770,さくらネット<3778>の株価は、3日間で3435円から3770円へと大きく上昇した。この変動の背景には、業績の改善が大きく寄与している。2025年1月期の上期業績において、売上高や各段階利益が予想を上回り、特に営業損益の改善が際立った。予想の赤字幅が縮小したことは市場に好感された。また、為替の影響もプラスに働き、業績予想を後押しした。これらの要因が株価の急騰を支えていると考えられる。,2025/9/2,,,,,,
240902_r28,6424,高見サイ, ＱＲ乗車券とクレジットカード決済に対応した新型自動改札機を開発,"高見沢サイバネティックス<6424>が後場上げ幅を拡大している。正午ごろ、ＱＲ乗車券とクレジットカード決済に対応した新型自動改札機を開発したと発表しており、好材料視されている。

　新たに開発した改札機は、鉄道の乗車券が現在、主流となっている磁気切符を廃止し、ＱＲコードを使用した切符に切り替わる流れとなっていることや、インバウンドの増加を背景に乗車券を購入せずに、タッチ決済対応のクレジットカードを自動改札機に直接かざして乗車する方式、顔を認証媒体とした方式などが普及し始めていることから開発したもの。ＱＲ乗車券とクレジットカード決済の専用とし、乗降客数などにより変化する運用形態や、駅の設置スペースなど、鉄道事業者のさまざまなニーズに対応するため、「スタンド型」と「ゲート型（ロングタイプ・ショートタイプ）」の計３種類を用意したという。",https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=ewjei5&t=https://www.nikkei.com/nkd/disclosure/tdnr/20240902579437/,1092,1089,1187,高見サイ<6424>の株価はここ3日間で大きな変動を見せた。初日は1092円で始まり、翌日は1089円とわずかに下がったが、3日目には1187円と大幅に上昇した。この変動の背後には、高見沢サイバネティックスが開発した新型自動改札機がある。この新製品はQR乗車券とクレジットカード決済に対応し、交通システム機器の市場で競争力を増すものと期待されている。技術革新に対応し、製品ラインアップを強化する姿勢が投資家の注目を集め、株価にプラスの影響を与えたと考えられる。,2025/9/2,,,,,,
