銘柄,日付,"ROUGE-1,pre","ROUGE-1,re","ROUGE-1,F","ROUGE-L,pre","ROUGE-L,re","ROUGE-L,F"
ジーダット,2024/9/2,0.5294117647058824,0.5869565217391305,0.5567010309278351,0.30392156862745096,0.33695652173913043,0.31958762886597936
サスメド,2024/9/2,0.6170212765957447,0.2555066079295154,0.3613707165109034,0.40425531914893614,0.16740088105726872,0.23676012461059187
ACCESS,2024/9/2,0.39285714285714285,0.30344827586206896,0.3424124513618677,0.20535714285714285,0.15862068965517243,0.178988326848249
ラクーンHD,2024/9/2,0.4125874125874126,0.29797979797979796,0.3460410557184751,0.23776223776223776,0.1717171717171717,0.19941348973607037
エフ・コード,2024/9/2,0.43548387096774194,0.2634146341463415,0.3282674772036474,0.27419354838709675,0.16585365853658537,0.20668693009118538
高田機,2024/9/2,0.5238095238095238,0.3598130841121495,0.4265927977839335,0.3197278911564626,0.21962616822429906,0.26038781163434904
さくらネット,2024/9/2,0.34265734265734266,0.4016393442622951,0.369811320754717,0.20279720279720279,0.23770491803278687,0.2188679245283019
高見サイ,2024/9/2,0.5533980582524272,0.27014218009478674,0.3630573248407643,0.3786407766990291,0.1848341232227488,0.2484076433121019
みらいWKS,2024/9/2,0.5470085470085471,0.45714285714285713,0.4980544747081712,0.38461538461538464,0.32142857142857145,0.3501945525291829
インテG,2024/9/2,0.4897959183673469,0.24242424242424243,0.32432432432432434,0.3163265306122449,0.15656565656565657,0.20945945945945946
ドリムアーツ,2024/9/2,0.5567010309278351,0.16023738872403562,0.24884792626728114,0.3711340206185567,0.10682492581602374,0.16589861751152074
ファンペップ,2024/9/2,0.35294117647058826,0.1935483870967742,0.25,0.23529411764705882,0.12903225806451613,0.16666666666666666
メタプラ,2024/9/2,0.5213675213675214,0.46923076923076923,0.4939271255060729,0.29914529914529914,0.2692307692307692,0.28340080971659914
ホーチキ,2024/9/2,0.3445378151260504,0.2971014492753623,0.31906614785992216,0.21008403361344538,0.18115942028985507,0.19455252918287938
ホトニクス,2024/9/2,0.5277777777777778,0.22529644268774704,0.3157894736842105,0.32407407407407407,0.1383399209486166,0.19390581717451524
