銘柄,日付,"ROUGE-1,pre","ROUGE-1,re","ROUGE-1,F","ROUGE-L,pre","ROUGE-L,re","ROUGE-L,F"
ジーダット,2024-09-02 00:00:00,0.4330708661417323,0.5978260869565217,0.5022831050228311,0.23622047244094488,0.32608695652173914,0.273972602739726
FLネット,2024-09-02 00:00:00,0.4393939393939394,0.3945578231292517,0.4157706093189964,0.2803030303030303,0.25170068027210885,0.2652329749103942
イシン,2024-09-02 00:00:00,0.504424778761062,0.29842931937172773,0.37500000000000006,0.2743362831858407,0.16230366492146597,0.20394736842105263
サスメド,2024-09-02 00:00:00,0.5344827586206896,0.27312775330396477,0.36151603498542273,0.3103448275862069,0.15859030837004406,0.2099125364431487
ACCESS,2024-09-02 00:00:00,0.3533834586466165,0.32413793103448274,0.3381294964028777,0.18045112781954886,0.16551724137931034,0.17266187050359713
ラクーンHD,2024-09-02 00:00:00,0.4,0.24242424242424243,0.30188679245283023,0.19166666666666668,0.11616161616161616,0.14465408805031446
エフ・コード,2024-09-02 00:00:00,0.4583333333333333,0.2682926829268293,0.3384615384615385,0.25,0.14634146341463414,0.1846153846153846
高田機,2024-09-02 00:00:00,0.53125,0.3177570093457944,0.39766081871345027,0.359375,0.21495327102803738,0.26900584795321636
さくらネット,2024-09-02 00:00:00,0.34108527131782945,0.36065573770491804,0.350597609561753,0.20930232558139536,0.22131147540983606,0.2151394422310757
高見サイ,2024-09-02 00:00:00,0.5,0.22274881516587677,0.3081967213114754,0.3829787234042553,0.17061611374407584,0.23606557377049184
三栄コ,2024-09-02 00:00:00,0.2222222222222222,0.5084745762711864,0.3092783505154639,0.14074074074074075,0.3220338983050847,0.1958762886597938
みらいWKS,2024-09-02 00:00:00,0.4392523364485981,0.3357142857142857,0.3805668016194332,0.29906542056074764,0.22857142857142856,0.25910931174089064
インテG,2024-09-02 00:00:00,0.4742268041237113,0.23232323232323232,0.311864406779661,0.30927835051546393,0.15151515151515152,0.2033898305084746
ドリムアーツ,2024-09-02 00:00:00,0.55,0.13056379821958458,0.21103117505995206,0.3625,0.08605341246290801,0.13908872901678657
ファンペップ,2024-09-02 00:00:00,0.3949579831932773,0.3032258064516129,0.34306569343065696,0.226890756302521,0.17419354838709677,0.19708029197080293
メタプラ,2024-09-02 00:00:00,0.4,0.4,0.4000000000000001,0.2076923076923077,0.2076923076923077,0.2076923076923077
ホーチキ,2024-09-02 00:00:00,0.36134453781512604,0.3115942028985507,0.3346303501945525,0.226890756302521,0.1956521739130435,0.21011673151750976
キタック,2024-09-02 00:00:00,0.5407407407407407,0.2166172106824926,0.3093220338983051,0.26666666666666666,0.10682492581602374,0.15254237288135594
ホトニクス,2024-09-02 00:00:00,0.49295774647887325,0.2766798418972332,0.3544303797468355,0.2887323943661972,0.16205533596837945,0.20759493670886076
Gオイスター,2024-09-02 00:00:00,0.5132743362831859,0.5523809523809524,0.5321100917431192,0.2920353982300885,0.3142857142857143,0.30275229357798167
