銘柄,日付,"ROUGE-1,pre","ROUGE-1,re","ROUGE-1,F","ROUGE-L,pre","ROUGE-L,re","ROUGE-L,F"
ジーダット,2024/9/2,0.3984375,0.5543478260869565,0.4636363636363637,0.2578125,0.358695652173913,0.29999999999999993
サスメド,2024/9/2,0.6160714285714286,0.3039647577092511,0.40707964601769914,0.42857142857142855,0.21145374449339208,0.28318584070796454
ACCESS,2024/9/2,0.313953488372093,0.3724137931034483,0.3406940063091483,0.18023255813953487,0.21379310344827587,0.19558359621451105
ラクーンHD,2024/9/2,0.4090909090909091,0.3181818181818182,0.35795454545454547,0.22727272727272727,0.17676767676767677,0.19886363636363635
エフ・コード,2024/9/2,0.3893805309734513,0.2146341463414634,0.2767295597484276,0.25663716814159293,0.14146341463414633,0.18238993710691825
高田機,2024/9/2,0.5136986301369864,0.35046728971962615,0.41666666666666663,0.3424657534246575,0.2336448598130841,0.2777777777777778
さくらネット,2024/9/2,0.3114754098360656,0.3114754098360656,0.3114754098360656,0.21311475409836064,0.21311475409836064,0.21311475409836064
高見サイ,2024/9/2,0.5169491525423728,0.2890995260663507,0.37082066869300906,0.3559322033898305,0.1990521327014218,0.25531914893617025
みらいWKS,2024/9/2,0.42424242424242425,0.5,0.4590163934426229,0.22424242424242424,0.2642857142857143,0.2426229508196721
インテG,2024/9/2,0.415929203539823,0.23737373737373738,0.3022508038585209,0.26548672566371684,0.15151515151515152,0.19292604501607719
ドリムアーツ,2024/9/2,0.5657894736842105,0.2551928783382789,0.35173824130879344,0.28289473684210525,0.12759643916913946,0.17586912065439672
ファンペップ,2024/9/2,0.4,0.3096774193548387,0.3490909090909091,0.24166666666666667,0.1870967741935484,0.21090909090909093
メタプラ,2024/9/2,0.40714285714285714,0.43846153846153846,0.4222222222222222,0.21428571428571427,0.23076923076923078,0.22222222222222224
ホーチキ,2024/9/2,0.3333333333333333,0.2826086956521739,0.30588235294117644,0.19658119658119658,0.16666666666666666,0.1803921568627451
ホトニクス,2024/9/2,0.5040650406504065,0.2450592885375494,0.32978723404255317,0.3008130081300813,0.14624505928853754,0.19680851063829788
