コード,銘柄,企業発情報タイトル0,URL0,日付
6081,アライドアキ,（訂正）2025年12月期第３四半期 決算説明資料の一部訂正について,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fnpipf&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251203514451/,2025/12/04
6081,アライドアキ,アイリッシュウイスキーブランド「バスカー」がKaname.ax を活用し、 新たな飲用シーンを発見,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fnpi8n&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251203513847/,2025/12/03
6081,アライドアキ,第三者割当により発行される新株式の払込完了に関するお知らせ,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fnl6v1&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251201512477/,2025/12/01
4664,RSC,非上場の親会社等の決算情報に関するお知らせ,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fnckji&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251127510302/,2025/11/27
3444,菊池製作,営業外収益の計上に関するお知らせ,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fmr0i9&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251117504561/,2025/11/17
6324,ハーモニック,Investors’ Guide FY 2024,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fmvbzg&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251119506060/,2025/11/19
5597,ブルーイノベ,ブルーイノベーション、台湾のドローンメーカーAeroprobing社とブランドライセンス契約を締結,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fnpi5l&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251203513737/,2025/12/03
5597,ブルーイノベ,【イベントレポート】板橋区産業振興構想2035検討会が板橋ドローンフィールドで開催されました,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fmt62e&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251118505078/,2025/11/18
9984,SBG,Ampere Computing Holdings LLCの持分の取得（子会社化）の完了に関するお知らせ,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fmxi0o&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251120507192/,2025/11/26
4667,アイサンテク,デジタルインフラ時代の3次元点群ソリューションの最新バージョン 「WingEarth Version2.9.0」発売のお知らせ,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fmvbuk&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251119505884/,2025/11/19
6920,レーザーテク,自己株式の取得状況に関するお知らせ,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fnl6vc&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251201512488/,2025/12/01
6258,平田機工,部長級人事異動に関するお知らせ,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fnck9l&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251127509945/,2025/11/27
268A,リガクHD,自己株式の取得状況に関するお知らせ,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fnl6oq&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251201512250/,2025/12/01
6696,トラースOP,2026年１月期 第３四半期決算説明資料,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fnrnut&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251204514437/,2025/12/04
6696,トラースOP,2026年１月期 第３四半期決算短信〔日本基準〕（連結）,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fnrnup&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251204514433/,2025/12/04
2901,Wディッシュ,財務報告に係る内部統制の開示すべき需要な不備に関するお知らせ,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fnncju&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251202513162/,2025/12/02
2901,Wディッシュ,（訂正・数値データ訂正）「2025年８月期決算短信〔日本基準〕(連結)」の一部訂正に関するお知らせ,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fnl71b&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251201512703/,2025/12/01
2901,Wディッシュ,防衛省との商品及びサービス提供に関する契約締結のお知らせ,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fnl6mp&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251201512177/,2025/12/01
3691,デジプラ,株主優待制度の変更に関するお知らせ（補足説明）,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fnro9o&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251204514972/,2025/12/04
3691,デジプラ,2025年9月期通期決算を終えての代表メッセージ動画公開のお知らせ,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fnpilq&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251203514318/,2025/12/03
3691,デジプラ,株主優待制度の変更に関するお知らせ,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fnpiif&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251203514199/,2025/12/03
