コード,銘柄,変動記事本文,変動記事タイトル,企業発情報タイトル,URL,日付,終値2日前,終値1日前,終値0日前,生成記事
6615,UMCエレ,,S 先端運転支援システムでの中国ＺＹＴ向け新規受注を材料視,ZYT 様向け新規受注に関するお知らせ,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fnrnwa&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251204514490/,2025/12/04,,,355,
4664,RSC,,S 国内機械大手によるフィジカルＡＩでの協業発表相次ぎ関心が向かう,第三者割当に係る株式譲渡報告確約書（新株式）,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fnro5f&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251204514819/,2025/12/04,,,1521,
219A,ハートシード,, 直近レンジ下限接近のなか国内大手証券の強気評価が刺激材料に,重症心不全を対象にした心筋再生医療HS-005（カテーテル投与）の第I/II相企業治験開始に向けた 治験届の30日調査完了のお知らせ,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fm0wyj&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251104586907/,2025/11/04,,,1823,
3444,菊池製作,,S フィジカルＡＩブームでロボット試作開発需要の拡大に期待膨らむ,特別利益の計上見込みに関するお知らせ,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fmt6b6&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251118505394/,2025/11/18,,,616,
6433,ヒーハイスト,,S 参画する団体が国産ヒト型ロボを２７年中にも量産と報じられる,2026年３月期　第２四半期（中間期）決算短信〔日本基準〕（連結）,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fmianx&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251112597821/,2025/11/12,,,710,
4516,日本新薬,,S ＣＡＰ－１００２の良好な第３相試験結果を材料視,2026年3月期 第2四半期（中間期）決算短信〔ＩＦＲＳ〕（連結）,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fmiatx&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251112598037/,2025/11/14,,,5023,
268A,リガクHD,, 次世代半導体向け計測装置の販売開始を引き続き材料視,リガク、次世代半導体向け計測装置「XTRAIA MF-3400」販売開始,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fnro8g&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251204514928/,2025/12/04,,,1140,
4062,イビデン,, シンガポールＧＩＣ社が５．０７％保有判明で思惑,統合報告書 2025,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=flq41c&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251030582864/,2025/11/01,,,12705,
9973,KOZOHD,, 小僧寿し既存店売上高が９カ月ぶり前年上回る,2025年12月期　11月度月次前年比データ（速報値）についてのお知らせ,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fnttos&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251205515308/,2025/12/05,,,33,
9984,SBG,, 『米政権とハイテク工業団地建設協議』などと伝わる,第67回無担保普通社債の発行に関するお知らせ,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fnaefc&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251126509064/,2025/11/26,,,19285,
3415,T-BASE,, 国内証券が投資評価引き上げ,【2026年1月期】2025.11月度月次売上速報,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fnncmn&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251202513263/,2025/12/02,,,460,
5246,エレメンツ,, iPhoneのマイナンバーカード利用の本人確認導入に『LIQUID eKYC』が対応,特定子会社の異動(解散及び清算)に関するお知らせ,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fmt69g&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251118505332/,2025/11/20,,,571,
4617,中国塗,, 造船需要拡大で恩恵として国内証券が買い推奨,韓国塗料メーカーとの資本業務提携契約締結に関するお知らせ,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fneqj6&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251128511378/,2025/11/28,,,4760,
6027,弁護士COM,, 好決算評価で見直し買いも,東京証券取引所プライム市場への上場市場区分変更に関するお知らせ,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fmxi12&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251120507206/,2025/12/04,,,3135,
2901,Wディッシュ,,S 財務報告に関する内部統制の開示すべき重要な不備を発表,コーポレート・ガバナンスに関する報告書 2025/12/04,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fnrnzy&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251204514622/,2025/12/04,,,378,
6838,多摩川HD,, 第三者割当による新株予約権発行で潜在的な希薄化リスク警戒,中期経営計画の策定に関するお知らせ,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fnro6v&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251204514871/,2025/12/04,,,698,
7265,エイケン工業,, 前期業績は計画上振れも利益確定売りが優勢,独立役員届出書,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fnttk7&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251205515143/,2025/12/05,,,3350,
4704,トレンド,, 前日にIRデイを開催しているが,当社取締役及び従業員並びに当社子会社取締役及び従業員に対する ストックオプション（新株予約権）の付与に関するお知らせ,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fnpi9t&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251203513889/,2025/12/04,,,7167,
2910,Rフィールド,, 消費者の節約志向継続で２６年４月期業績予想を下方修正,2026年4月期 第2四半期(中間期）決算説明資料,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fnroac&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251204514996/,2025/12/05,,,1314,
3691,デジプラ,, 株主優待制度の拡充を発表も,【調査レポート】株主優待が配当よりも大きく上回る投資対効果に,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fntttz&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251205515495/,2025/12/05,,,1362,
6173,アクアライン,, グロース上場維持に向け第三者割当増資を発表,第三者割当による新株式発行、第三者割当による第２回新株予約権（行使価額修正条項付）及び第１回無担保普通社債の発行並びに主要株主の異動に関するお知らせ,https://www.nikkei.com/markets/company/sys/redirect_dis.aspr?ano=fnro70&t=https://www.nikkei.com/nkd/disclosure/tdnr/20251204514876/,2025/12/04,,,198,
